OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UNKNOWN,,2022-12-14T13:09:19.187136,14.49164999,.0116157,98.1989,277.6710,201.4660,158.1642,0,U,89146,999,46970,.47469E-3,.192E-4,0
UNKNOWN,,2022-12-13T18:56:16.249344,14.74835866,.0128202,97.7203,6.8974,126.8244,234.4807,0,U,89161,999,38491,.56144E-3,.4246E-4,0
UNKNOWN,1981-053,2022-12-13T20:24:35.049024,14.13349753,.0407849,82.0767,139.7887,317.3388,39.6765,0,U,89172,999,44558,.85313E-3,.3586E-4,0
UNKNOWN,,2022-12-08T08:47:54.389472,13.73452417,.003167,82.9216,4.7810,325.5577,34.3525,0,U,89177,999,91190,.92301E-4,.101E-5,0
UNKNOWN,,2022-12-13T17:49:36.503040,13.79522648,.0132455,99.2136,269.6489,185.3740,174.5998,0,U,89183,999,45588,.38152E-3,.377E-5,0
UNKNOWN,,2022-12-14T07:57:58.192992,14.41947014,.0019155,98.4658,183.3705,266.5918,93.3080,0,U,89184,999,33278,.1629E-2,.5309E-4,0
UNKNOWN,,2022-12-13T03:20:32.670528,14.25705355,.0032445,98.7631,54.4254,182.2927,177.8108,0,U,89195,999,37116,.12511E-2,.2941E-4,0
UNKNOWN,,2022-12-13T18:56:45.983904,14.28010291,.0029425,98.6927,12.1871,130.4666,229.9087,0,U,89206,999,32947,.17903E-2,.4421E-4,0
UNKNOWN,,2022-12-11T14:13:50.019456,13.89440748,.0231965,98.8782,255.2546,247.5440,110.1006,0,U,89213,999,30019,.3007E-3,.412E-5,0
UNKNOWN,,2022-12-07T05:54:51.545952,13.80871172,.0109914,100.3848,172.1496,331.7645,27.7573,0,U,89218,999,98278,.11347E-2,.1199E-4,0
UNKNOWN,,2022-12-13T20:21:52.782912,8.79588595,.3045779,62.5311,290.0171,4.0433,357.9913,0,U,89251,999,56521,.14291E-1,.18471E-3,0
UNKNOWN,,2022-12-12T16:21:42.332544,13.38181010,.0365151,98.6604,250.1093,355.8438,3.9685,0,U,89255,999,34840,.2474E-2,.189E-4,0
UNKNOWN,,2022-12-13T08:43:10.125696,14.39594397,.0012645,98.1883,15.4872,233.5905,126.4118,0,U,89261,999,37603,.21719E-3,.638E-5,0
